order	abscissa	weight
    10	        -3.436159118837738	     7.640432855232631e-06
    10	        -2.532731674232788	      0.001343645746781224
    10	        -1.756683649299881	       0.03387439445548121
    10	        -1.036610829789514	         0.240138611082315
    10	       -0.3429013272237045	        0.6108626337353257
    10	        0.3429013272237046	        0.6108626337353257
    10	         1.036610829789512	        0.2401386110823148
    10	          1.75668364929988	       0.03387439445548109
    10	         2.532731674232791	      0.001343645746781228
    10	         3.436159118837738	     7.640432855232614e-06
    11	        -3.668470846559582	     1.439560393714261e-06
    11	         -2.78329009978165	     0.0003468194663233435
    11	        -2.025948015825755	       0.01191139544491153
    11	        -1.326557084494933	        0.1172278751677087
    11	          -0.6568095668821	        0.4293597523561252
    11	     1.970187737004795e-16	        0.6547592869145923
    11	        0.6568095668821003	        0.4293597523561256
    11	         1.326557084494933	        0.1172278751677087
    11	         2.025948015825755	       0.01191139544491153
    11	          2.78329009978165	     0.0003468194663233459
    11	         3.668470846559582	     1.439560393714261e-06
    12	        -3.889724897869782	      2.65855168435632e-07
    12	        -3.020637025120888	      8.57368704358788e-05
    12	        -2.279507080501059	      0.003905390584629083
    12	        -1.597682635152605	       0.05160798561588385
    12	       -0.9477883912401639	        0.2604923102641609
    12	       -0.3142403762543589	        0.5701352362624796
    12	        0.3142403762543591	        0.5701352362624797
    12	        0.9477883912401639	        0.2604923102641609
    12	         1.597682635152604	       0.05160798561588406
    12	         2.279507080501058	      0.003905390584629064
    12	          3.02063702512089	       8.5736870435878e-05
    12	         3.889724897869783	     2.658551684356303e-07
    13	         -4.10133759617864	     4.825731850073124e-08
    13	         -3.24660897837241	     2.043036040270701e-05
    13	        -2.519735685678238	      0.001207459992719388
    13	        -1.853107651601512	       0.02086277529616991
    13	        -1.220055036590749	        0.1403233206870233
    13	         -0.60576387917106	        0.4216162968985437
    13	    -5.354445061955683e-17	        0.6043931879211619
    13	        0.6057638791710594	         0.421616296898543
    13	         1.220055036590749	        0.1403233206870234
    13	         1.853107651601513	       0.02086277529616996
    13	         2.519735685678238	      0.001207459992719389
    13	         3.246608978372408	     2.043036040270718e-05
    13	          4.10133759617864	     4.825731850073094e-08
     2	       -0.7071067811865475	        0.8862269254527578
     2	        0.7071067811865475	        0.8862269254527578
     3	        -1.224744871391589	        0.2954089751509195
     3	    -9.862844991098402e-17	         1.181635900603677
     3	         1.224744871391589	        0.2954089751509196
     4	        -1.650680123885784	       0.08131283544724513
     4	       -0.5246476232752904	        0.8049140900055129
     4	        0.5246476232752902	        0.8049140900055121
     4	         1.650680123885784	       0.08131283544724525
     5	        -2.020182870456086	       0.01995324205904597
     5	       -0.9585724646138184	        0.3936193231522413
     5	     2.402579402021668e-16	         0.945308720482943
     5	        0.9585724646138187	        0.3936193231522411
     5	         2.020182870456086	       0.01995324205904589
     6	        -2.350604973674493	      0.004530009905508857
     6	        -1.335849074013696	        0.1570673203228569
     6	       -0.4360774119276162	        0.7246295952243929
     6	         0.436077411927616	        0.7246295952243927
     6	         1.335849074013696	        0.1570673203228566
     6	         2.350604973674493	      0.004530009905508823
     7	        -2.651961356835234	     0.0009717812450995172
     7	        -1.673551628767471	       0.05451558281912706
     7	       -0.8162878828589647	        0.4256072526101277
     7	    -1.059786349168287e-16	        0.8102646175568082
     7	        0.8162878828589646	        0.4256072526101282
     7	         1.673551628767472	       0.05451558281912713
     7	         2.651961356835234	     0.0009717812450995191
     8	        -2.930637420257243	     0.0001996040722113679
     8	        -1.981656756695842	       0.01707798300741343
     8	         -1.15719371244678	        0.2078023258148922
     8	       -0.3811869902073223	        0.6611470125582418
     8	         0.381186990207322	         0.661147012558241
     8	          1.15719371244678	        0.2078023258148921
     8	         1.981656756695842	       0.01707798300741346
     8	         2.930637420257243	     0.0001996040722113677
     9	        -3.190993201781527	     3.960697726326444e-05
     9	        -2.266580584531843	      0.004943624275536957
     9	        -1.468553289216668	       0.08847452739437681
     9	       -0.7235510187528373	        0.4326515590025557
     9	    -2.361558093483325e-16	        0.7202352156060512
     9	        0.7235510187528379	        0.4326515590025563
     9	         1.468553289216668	       0.08847452739437676
     9	         2.266580584531844	      0.004943624275536958
     9	         3.190993201781527	     3.960697726326444e-05
